influence.1.1		influence.1.2		influence.1.3		influence.1.4		influence.1.5		influence.1.6		influence.1.7		influence.1.8		influence.1.9		influence.2.1		influence.2.2		influence.2.3		influence.2.4		influence.2.5		influence.2.6		influence.2.7		influence.2.8		influence.2.9		influence.3.1		influence.3.2		influence.3.3		influence.3.4		influence.3.5		influence.3.6		influence.3.7		influence.3.8		influence.3.9		influence.4.1		influence.4.2		influence.4.3		influence.4.4		influence.4.5		influence.4.6		influence.4.7		influence.4.8		influence.4.9		influence.5.1		influence.5.2		influence.5.3		influence.5.4		influence.5.5		influence.5.6		influence.5.7		influence.5.8		influence.5.9		influence.6.1		influence.6.2		influence.6.3		influence.6.4		influence.6.5		influence.6.6		influence.6.7		influence.6.8		influence.6.9		influence.7.1		influence.7.2		influence.7.3		influence.7.4		influence.7.5		influence.7.6		influence.7.7		influence.7.8		influence.7.9		influence.8.1		influence.8.2		influence.8.3		influence.8.4		influence.8.5		influence.8.6		influence.8.7		influence.8.8		influence.8.9		influence.9.1		influence.9.2		influence.9.3		influence.9.4		influence.9.5		influence.9.6		influence.9.7		influence.9.8		influence.9.9		
0.000000000000000000e+00 5.773799824186196969e-09 2.181433975096319422e+00 8.044418601148442885e-03 3.877886157639912068e-02 7.160891797345164678e-01 2.446062448844488419e-04 4.894537296898585410e+00 1.056882942495902533e+00 2.675620641874714226e-02 0.000000000000000000e+00 1.540239594405448775e+00 9.549334326194568234e+00 4.498815568970811682e-08 2.861856293196977517e-04 2.319684467200285594e-01 4.419916221169790244e-02 1.260256029018687698e-04 8.545732590585767952e+00 1.699533821324304715e-10 0.000000000000000000e+00 5.916657782736480797e-01 2.626718976631370328e-01 1.246307038559331227e-09 1.746047265637447939e-04 3.905947695747120196e+00 2.745878535234234086e+00 5.598216131671798588e-14 8.651661674097286397e-03 1.409944535139876221e-01 0.000000000000000000e+00 4.067460956494829971e-01 3.270803444055156994e+00 2.805158028906927226e-01 2.560350411824204812e-03 1.630529078337802570e-02 3.615546356204237681e-13 1.599804571979638261e-07 2.812866572440394179e-14 1.502913009611208132e-03 0.000000000000000000e+00 1.090797518396365851e-01 1.578077533900142659e-07 6.880918326281728660e-05 4.267253213931922889e-02 5.036601789190833268e-03 4.571906606814398789e-03 2.142050549775885493e+00 3.690484570432350786e-02 1.189765305527041351e-07 0.000000000000000000e+00 3.816937875284076836e-03 1.500979983790800273e-19 3.508790882053266277e-05 3.512586198439885621e+00 6.409177436646680028e-04 8.888704288508105789e-01 3.717508990342913933e+00 3.306240420129608615e-01 2.826143397362696425e-08 0.000000000000000000e+00 3.848120428958984318e-01 9.529839560508770901e+00 5.012026453797719290e-06 1.376027149278122793e-06 7.356548663934844927e-08 3.324639334204773089e+00 7.313995375399883056e-04 4.498026643281400587e-18 9.562432915348982859e-04 0.000000000000000000e+00 5.850915263006606880e-03 1.018622665560941544e-04 2.583806811924399661e-10 1.506207809691281430e+00 5.545286589265104205e+00 7.334432246092786878e-01 4.078628351459938073e-01 5.082456782655769834e-01 1.611110088519485187e-14 0.000000000000000000e+00
0.000000000000000000e+00 7.225135510897142088e-09 6.115137399298516740e+00 2.517427866163315583e-03 2.145908595064453459e-02 1.472092316375139376e+00 1.294724377819238541e-04 7.540288116212668257e+00 1.916299416882124129e+00 1.814448756525293138e+00 0.000000000000000000e+00 5.384039642193103603e-01 2.826440016716513792e+00 3.187454928678152425e-08 4.238939201417876897e-04 6.577514143730120999e-01 4.964464647845989731e-02 1.159245173860785433e-04 3.704873241466179579e+00 2.568046548524909364e-10 0.000000000000000000e+00 1.427556000401533964e+00 1.276613029444288783e+00 5.699777990346811476e-09 1.611415114357399845e-04 3.808152893883458567e+00 2.334384314040387043e+00 5.810930501576245613e-12 2.784763648421541716e-03 7.505228092926028438e-01 0.000000000000000000e+00 2.506740992066154861e-01 4.467529008282078884e+00 6.870985203781986538e-03 5.941967485347297113e-05 8.715701587936647288e-02 3.799070523157389590e-14 6.006639037800757902e-08 4.275139444546585536e-14 2.629401964762659479e-03 0.000000000000000000e+00 2.373743889733300194e-01 2.830284464534424536e-07 1.682482530773526594e-04 7.361212306681542972e-02 8.758628942933829181e-03 7.271977127657673710e-04 2.129352488817465971e+00 2.598224952607049998e-01 4.143294137679145178e-08 0.000000000000000000e+00 1.617822121303978677e-02 1.568298186731460241e-19 1.639432572371549157e-04 3.553888971170696021e+00 3.039056569201568198e-04 7.498533326284771983e-01 4.460575690370697899e+00 4.388971121923765373e-01 4.214718516491422073e-08 0.000000000000000000e+00 4.700287885865021553e-01 1.837735421831815374e+00 1.496184887357950076e-06 6.185869781189580269e-06 7.490979479595265940e-08 3.935272526440097618e+00 1.033197198364314579e-03 1.812894315958579969e-18 8.732544088466356489e-04 0.000000000000000000e+00 4.108292000096594107e-03 1.380837442435036842e-04 1.953576552282998665e-10 1.846044519814632023e+00 1.964809200870768491e+00 9.137461057857186875e-01 5.759481643423067787e-01 5.166843786288398688e-01 2.029239131757703950e-15 0.000000000000000000e+00
0.000000000000000000e+00 2.039366140564999441e-10 7.762025686140539005e-01 9.432189244155652838e-03 3.008546942635648321e-03 1.793013252553675496e+00 3.986047790613247120e-03 7.246263821907902525e+00 3.704492600666289270e+00 1.656582821962337082e+00 0.000000000000000000e+00 7.614531191779521091e-01 1.148428917384383352e+00 1.337267514622306310e-07 4.117313738320280288e-04 5.429636854886138453e-01 4.013211981997287514e-02 1.036038387444030909e-04 1.476418314538443299e+00 1.706927464530660819e-10 0.000000000000000000e+00 1.788744164737393616e+00 5.698887091924943471e-01 7.142728063688813437e-09 1.116075043441946800e-05 2.088965587021696990e+00 4.112475237253963911e+00 1.580703426961575698e-12 2.125851833723412573e-03 1.005805501688731507e+00 0.000000000000000000e+00 1.319407570456034406e+00 6.638734541570934233e-02 6.744653734685458063e-03 1.179738408773390523e-06 1.355814386641853719e-01 2.521318386989599669e-14 8.236003318113977412e-08 1.560161649294574357e-13 8.909665166040858786e-04 0.000000000000000000e+00 2.201849741822271139e-02 6.053918352601289889e-07 2.582417282189438962e-04 7.077340158956997584e-02 7.963109341523074911e-03 1.939163555928420825e-05 4.804242706207762836e+00 6.552953904842895305e-02 2.266783669708106833e-07 0.000000000000000000e+00 1.893735043389057834e-02 2.489192517204249104e-19 2.402805383535542346e-03 2.393772174104180195e+00 3.456748826578565515e-04 1.805591626970151076e+00 7.989046597003132355e+00 1.474343785694445463e+00 9.915398169175884733e-10 0.000000000000000000e+00 1.185462337488654594e+00 2.682020366104972631e+00 5.709572246291396963e-06 4.331539812421654642e-06 8.811402643151355563e-08 2.932920694817659157e+00 6.403810920551968868e-04 1.577136735631603346e-18 7.732996024518018485e-03 0.000000000000000000e+00 8.246678787925709742e-01 8.987088845861275618e-05 1.597660219209198522e-10 3.488210943380869455e+00 4.272125497111515458e+00 6.843812702183275087e-01 5.143687388510141956e-01 5.874231018734714649e-01 9.424159169391214577e-16 0.000000000000000000e+00
0.000000000000000000e+00 1.445238134148802230e-10 6.455159337789090346e-01 1.156963355329535502e-02 1.026038140989626824e-03 1.131670811124923404e+00 9.971564748971247904e-04 1.659760970124386503e+00 9.373075652332893526e+00 4.268445053334064099e+00 0.000000000000000000e+00 3.816839430851384773e-01 9.645979706880801752e-01 4.255438125288458230e-08 9.834195136130164001e-04 4.314866814563700914e-01 1.516128524648697150e-03 1.996573761784982393e-04 4.995156224991949556e-01 3.621284146718402776e-10 0.000000000000000000e+00 8.258909250747292319e+00 2.217520262772510797e+00 3.874066408694841317e-09 7.184466402008180944e-06 6.416671864735303821e+00 1.918647512200698069e+00 6.093986557726870397e-13 2.658989329637435461e-03 4.578788856754678616e-01 0.000000000000000000e+00 1.624215215136060042e-01 7.846982994825339730e-02 2.860507381004297536e-03 9.537497130990000380e-07 1.229890434926189657e-03 4.963817942442994625e-13 2.128736856692319169e-07 4.193303436459917162e-15 3.714306829404169161e-03 0.000000000000000000e+00 5.253469249647046502e-04 1.273486323247765402e-06 2.680526213734295586e-04 2.506547407000279861e-03 1.667790901418658017e-02 7.979224347983955926e-06 3.536744849528652423e+00 7.617359650740014587e-02 2.755957799299215209e-07 0.000000000000000000e+00 1.018101036056516355e-02 2.327826439218697616e-19 2.474609361297706606e-03 1.414774387229200903e+00 1.737469639962987067e-04 3.604929369248055515e+00 6.008824835448695723e+00 1.534347817515096413e+00 2.078840539836521975e-09 0.000000000000000000e+00 1.069574565705322167e+00 3.987767217478130899e+00 5.549819266192845691e-06 3.121986190345811486e-07 8.680241998219857578e-07 3.375958271445353542e+00 6.950141206518426666e-04 1.101711805918895188e-17 1.177069623810378775e-03 0.000000000000000000e+00 2.289561470866185652e-02 4.427830522031701749e-07 3.604660464860895743e-11 3.733330600816171518e+00 1.297585705338155204e+00 6.613374719137413926e+00 1.753877482672581631e-02 8.925191302607150545e-01 1.283498495983275404e-15 0.000000000000000000e+00
0.000000000000000000e+00 1.782420970536895393e-10 6.946647889376346141e-01 3.797332065540742069e-02 8.817668382010353549e-04 1.161724888241484788e+00 7.579670239562736993e-03 2.911975506634468136e+00 6.996518830555654489e+00 5.365807656755205990e-01 0.000000000000000000e+00 5.073754564274919332e-01 2.094736251655110681e+00 4.812832327312748739e-08 1.586093233203087621e-02 1.991228510015587760e+00 2.522662360580893762e-04 4.007315714094575473e-04 7.677115011618178553e-01 2.786606674224061915e-10 0.000000000000000000e+00 5.868761568149102104e+00 8.987175049528447701e+00 6.098685978719983124e-10 1.330403659723907219e-05 9.598748210985719176e-02 5.903381724671608044e-01 2.312417764541164164e-13 3.052478373337978550e-03 2.240887855369081638e+00 0.000000000000000000e+00 2.403744894521901432e-01 1.344519977763547758e-01 1.489379891399837848e-02 2.384686689163612151e-06 1.180317404332235399e-03 2.678674812787658406e-13 2.908706798590962694e-07 2.219748641423629899e-14 2.020424133268768248e-03 0.000000000000000000e+00 1.880907863509524486e-04 6.359196770395802366e-06 2.355188979405846981e-04 2.567546745669796720e-03 1.227818208494372426e-02 6.936415537813748913e-06 7.931059565549738011e+00 7.098980384321085246e-02 1.926319502805683658e-07 0.000000000000000000e+00 1.883076512299892633e-02 3.095491197344277650e-19 7.961868412462600950e-04 8.734694219976827378e-01 8.852060685888413476e-05 2.428742789605387031e+00 8.942151394852977830e+00 5.251457556470704585e-02 8.140283565113323327e-10 0.000000000000000000e+00 4.928707187802169321e-01 2.315181192984384850e+00 1.538730149816542487e-06 1.663604969276795723e-06 5.670789446514736867e-07 3.593989994745835914e-01 1.928307003469518409e-05 2.536955225713937455e-17 1.092304652710447861e-03 0.000000000000000000e+00 1.205335995135453503e-01 1.376771360353447760e-06 2.849868884839158219e-11 7.256466638148990178e+00 9.863156274712885363e+00 1.922125997345388582e+00 3.664461180532140039e-02 4.420739580126831214e+00 9.671315630130273217e-16 0.000000000000000000e+00
0.000000000000000000e+00 8.500412410671126576e-10 8.668855391810215139e-01 3.093641654552931608e-01 2.656360088785692745e-03 1.336555390204471561e+00 9.303932556196313833e-03 3.313443104523710048e+00 5.926960399852414518e+00 4.815882298307154752e-01 0.000000000000000000e+00 8.278200309477341812e-02 6.965104420731567103e+00 3.683545574974354504e-08 1.703252733863868176e-02 4.956097123266301474e-01 1.586892724202502015e-04 3.637201329602186210e-04 9.462937202624254196e-01 4.676259934321398562e-10 0.000000000000000000e+00 2.653475193832640855e+00 5.792832057074869923e+00 1.501275563031711410e-08 5.786342214758013114e-04 2.443554740181077545e-01 5.345571260154391435e-01 4.851157720046147083e-14 3.148167913770148069e-02 4.694775206579041793e+00 0.000000000000000000e+00 2.445038207847884504e+00 1.710132816404023870e-01 1.892444281297454151e-02 4.553873392945078463e-06 3.160877788534441606e-03 5.708233769783598685e-13 1.335783437455304285e-07 5.819119232312167012e-14 2.828418544024658560e-02 0.000000000000000000e+00 2.250145095555313932e-05 4.387597499960390163e-06 1.307162564046083011e-03 1.009830888454303372e-03 1.897962910023559199e-02 1.640205051932664706e-05 8.151647228498337228e+00 2.751255368046834349e-02 3.466555286848718635e-07 0.000000000000000000e+00 2.918118503167274960e-02 2.196364586319011565e-19 3.046290393400285222e-04 1.305309221336384551e-01 6.266157405310900520e-05 1.860607221294896751e+00 6.225676196545989249e+00 4.546148956439455963e-02 2.056299319138528401e-10 0.000000000000000000e+00 5.249555730479014137e+00 3.280640542691769523e-01 1.911115115012967748e-06 2.532631896047819864e-05 5.393179678237490952e-07 5.472717661225029451e-01 1.680822275755663843e-05 1.749669854983295761e-18 2.323130064608263257e-03 0.000000000000000000e+00 7.565116250963802025e-02 1.485179229312076290e-07 1.815759702230308424e-10 4.479977675801835701e+00 5.327860989614283227e+00 4.446346011935085052e+00 1.449669880754916595e-01 9.416801691165494148e+00 1.302770628846914768e-16 0.000000000000000000e+00
0.000000000000000000e+00 2.953316855070289303e-09 4.629802336393137319e-01 7.542196872727461310e-01 7.289734632903182091e-03 7.494699244068077082e-01 1.562879697202440923e-02 4.921919205404751807e+00 3.150033665582706810e+00 1.113295791114550903e+00 0.000000000000000000e+00 2.207792677185882457e-01 4.328809535281555654e+00 9.449414061126808008e-08 6.800158663878517855e-03 4.585720274192194856e-01 1.774639107316172281e-04 1.735212000917139711e-03 2.777172922742685124e+00 1.595753659188132118e-09 0.000000000000000000e+00 3.947870231024863674e-01 2.263032920456928387e+00 4.389324172543806765e-08 8.486827128272452728e-04 1.704001784557786503e-01 3.008445222732449853e-01 9.346637028111729211e-12 3.615635615449343948e-02 4.107506858191980470e+00 0.000000000000000000e+00 2.667148632938526553e+00 5.476206503178147889e-02 3.630656959002479672e-02 3.847878521927325263e-06 6.334650518620485579e-04 4.718508893129440888e-13 1.069180503006167320e-07 5.051612177672753025e-14 5.718499590978608910e-02 0.000000000000000000e+00 7.146111940192159350e-06 2.024201463546530162e-06 1.876556928367199666e-03 1.050521255650957442e-03 1.893920029864661417e-02 5.571550757879814960e-05 5.148464662038200856e+00 3.397731324611775322e-02 1.877245143853813090e-07 0.000000000000000000e+00 5.553393911164353214e-02 7.206803546007748282e-20 2.784320499968294914e-04 2.714700932133473632e-01 4.731318524656754899e-05 6.464342526116445553e-01 9.594303751880744358e+00 3.685072952636518628e-02 1.693778587633124464e-09 0.000000000000000000e+00 1.513328568514141992e+00 3.052306759264795111e-01 2.087800352085338729e-06 1.045838401908092579e-05 2.963738059866891901e-08 6.243491115208386066e-01 3.195313923842274328e-05 5.958647467295249301e-19 2.769870191619589351e-03 0.000000000000000000e+00 5.525616671940145053e-02 2.519053569612508659e-07 1.589077955755141398e-09 1.894306680888250494e+00 8.034666374186697269e+00 2.048612498084696476e+00 6.233778936152133826e-03 4.797900064149523303e+00 1.861096233328887359e-16 0.000000000000000000e+00
0.000000000000000000e+00 6.465058257820563247e-09 1.261887870178911852e-01 6.075792892687060798e-01 3.330671183208097023e-03 1.122900216124097295e+00 1.285742649984470548e-02 3.691639400722348086e+00 3.363488344279137454e+00 9.027354308375531433e-01 0.000000000000000000e+00 2.427942681800739355e-01 8.744526002549488641e-01 2.874286456549503148e-07 1.614478252575301523e-03 2.988234090933516995e-01 5.649674011291358619e-04 5.413692321870964674e-04 8.087326431123774695e-01 3.977125715039828266e-10 0.000000000000000000e+00 3.447811877177824336e+00 2.865219403194095182e+00 1.084611981098623416e-07 3.700516782896546794e-04 9.505143081064826305e-01 1.151591643135995296e-01 1.005540147376175040e-11 2.956354003394802768e-02 2.482985038209331918e+00 0.000000000000000000e+00 4.573973722120627805e+00 7.319803003705271927e-02 3.196965583363575725e-02 9.069262805245468666e-06 2.549254877425405591e-04 1.271099176164510091e-13 6.299587059006458166e-07 7.386920541718817114e-15 9.766299906368818007e-02 0.000000000000000000e+00 5.441581826142261360e-06 1.239296003392238240e-06 2.842048797449093101e-03 4.906468287153041617e-05 2.298287629592737306e-03 3.063304273859916851e-05 7.475801892832770967e+00 6.353029132839284332e-02 2.087901608759186536e-07 0.000000000000000000e+00 1.178038317974526572e-02 6.569019672069721786e-20 3.398419148006642711e-04 2.390266960416549957e-01 4.345550365609414920e-05 2.044225024155562898e-01 4.374870811234334411e+00 1.555317487822978698e-02 1.089814578397953518e-09 0.000000000000000000e+00 1.700908843071702314e+00 1.403373088584253525e-01 2.646363818087727816e-05 5.236325404750906131e-06 1.211034531491961167e-07 6.048193627474351963e-01 9.085925908427672942e-06 1.160141700840205536e-18 3.505125809828914425e-04 0.000000000000000000e+00 5.574131657410577034e-01 4.481161378453655973e-07 6.639726887063576846e-10 1.748373705021244451e+00 6.362088822972520319e+00 9.611638668853058620e-01 3.063977174056363439e-02 7.277325687602413495e+00 7.441271312528908283e-17 0.000000000000000000e+00
0.000000000000000000e+00 5.113678004122435993e-09 3.719019878128041606e-02 1.540095706701493372e-01 1.441920054803642003e-04 1.060224566620983078e+00 6.872141540680388279e-04 5.567120184732731403e+00 4.853902372413088528e+00 5.382141922029155812e-02 0.000000000000000000e+00 4.466848232290368190e-03 2.312392099168059101e-01 1.411517237433255882e-07 3.507272563142198752e-03 3.007769452230607543e-01 8.786792259950298404e-05 5.301106401002466566e-04 3.754331046352143986e-02 1.916746698928014930e-10 0.000000000000000000e+00 2.255409388142791016e+00 4.381119484663343222e+00 1.348737651054715253e-07 5.241876337606071051e-04 1.569075766095775037e+00 8.391204537642933670e-02 4.360732226251520441e-12 1.105990786384212637e-01 1.247296234114485536e+00 0.000000000000000000e+00 8.662360884826105334e+00 1.656883316678641471e-01 1.442244746850860964e-03 2.475362991587651799e-05 3.550935471032929096e-04 1.532844580227182063e-12 2.913233241657477031e-07 5.274529237286500988e-15 1.334689599664732329e-01 0.000000000000000000e+00 7.106787505121193760e-08 3.077977410582315046e-07 1.229104291951009769e-03 2.052225852775656646e-05 2.515605003504438244e-03 1.395500662140329144e-05 6.330973957767176863e+00 5.822192060252451284e-02 1.505291654242260362e-08 0.000000000000000000e+00 1.350789567878710462e-01 3.745386225359487423e-19 8.901322945548596646e-05 9.098740643028420394e-02 6.036539255657393964e-05 4.687509850486911489e+00 6.418175060188480163e-01 2.366991941915824044e-02 7.844725676874157255e-11 0.000000000000000000e+00 9.980918030318945700e-02 1.308566630086041849e-01 5.408280903209266341e-05 3.392296430967629768e-06 1.342604470681923125e-07 6.296524130839696198e+00 1.074547165577477941e-04 8.266805161976945310e-19 5.544078327117134188e-04 0.000000000000000000e+00 1.953541623002614039e-02 4.806927221341696739e-07 2.389515407351397765e-11 6.404651782523112402e+00 2.378360363983924586e+00 2.185298733630599344e+00 4.932990833430905137e-02 5.536845485510431430e+00 2.561079435749037036e-16 0.000000000000000000e+00
0.000000000000000000e+00 1.898682495923640576e-09 3.237724382557536501e-02 1.353081511359721656e-01 7.354895142550301932e-05 3.473811192830721373e-01 2.983938384931997733e-04 1.905610183410070269e+00 5.193385935744809778e-01 7.385808354018172373e-02 0.000000000000000000e+00 7.000290125658271967e-02 7.336396257717332503e-01 2.133100258687206240e-07 4.588619217093697564e-03 4.044361829034014422e-01 4.122680616501845328e-03 1.148513968049997896e-03 7.442629201743535157e-03 1.116412198223135138e-09 0.000000000000000000e+00 7.166605025619348979e+00 7.064893342261513443e-01 6.198835577823636245e-07 6.763899057044975164e-04 1.771232356792291851e+00 7.474826709914088319e-02 1.599487581886915505e-10 1.629802966327434099e-01 9.718730208043449004e-01 0.000000000000000000e+00 1.836438578110903830e+00 9.399417870885598547e-02 3.080194891641666716e-04 6.898686350967056189e-06 2.124976338651247173e-04 1.732893719494577890e-12 3.696206444314880104e-07 2.260353673107677489e-13 4.285882548281440621e-03 0.000000000000000000e+00 4.815124729435665615e-08 4.101578788168224914e-08 9.553708115321451338e-03 4.112848480731712470e-05 8.809736362281398976e-04 8.789093915858618646e-05 3.305459373368866416e+00 1.226588328018469176e-01 2.790280046701002816e-08 0.000000000000000000e+00 5.595002020569102980e-02 4.383994593003375149e-19 1.957440210517714333e-03 1.207154905255417715e-01 1.604973930032703943e-04 4.552646494654062792e+00 9.372700845364300565e-03 8.984467657459497755e-03 3.932311680141338261e-10 0.000000000000000000e+00 2.082050098900959656e-01 1.819683246728764914e+00 2.281079044032279096e-05 7.046786626600660287e-06 2.198557204126604198e-07 7.142328516043300546e+00 5.999142350792773090e-05 6.190464409236305187e-19 2.471626001604764269e-04 0.000000000000000000e+00 1.664769467363004865e-02 5.860146760280321975e-07 1.350925204433187667e-10 7.933326583053794678e+00 4.837430989589175390e-01 3.014784293346809640e+00 7.414643201483300805e-02 8.509178737666831083e+00 3.423346476214149966e-16 0.000000000000000000e+00
