log.prior	log.likelihood	log.likelihood.test.set
-8.924797667955457428e+02 0.000000000000000000e+00 -1.845211630722418761e+01
-9.084706868527164261e+02 0.000000000000000000e+00 -1.825682311230590926e+01
-9.023738085784672194e+02 0.000000000000000000e+00 -1.787192290636291148e+01
-8.814009025094733261e+02 0.000000000000000000e+00 -1.749947663381790619e+01
-8.629083835751055176e+02 0.000000000000000000e+00 -1.669624979245578800e+01
-8.759847906732013598e+02 0.000000000000000000e+00 -1.753511749681972276e+01
-8.662581158416878679e+02 0.000000000000000000e+00 -1.808946989074590306e+01
-8.589705905752769013e+02 0.000000000000000000e+00 -1.764842611661833871e+01
-8.194766009008635592e+02 0.000000000000000000e+00 -1.782667471569570239e+01
-8.127653290057645563e+02 0.000000000000000000e+00 -1.991685575021224963e+01
-7.939521073627502119e+02 0.000000000000000000e+00 -1.858835494049871784e+01
-7.976981132950759275e+02 0.000000000000000000e+00 -1.831197699104215815e+01
-8.139830881377620244e+02 0.000000000000000000e+00 -1.872185454038884700e+01
-8.109114666430725720e+02 0.000000000000000000e+00 -1.932448603222452732e+01
-7.970476220690305809e+02 0.000000000000000000e+00 -2.003451438532853501e+01
-8.122254936728835446e+02 0.000000000000000000e+00 -2.019281592894597566e+01
-8.276300797045832951e+02 0.000000000000000000e+00 -1.959623903128753852e+01
-8.177906241924551978e+02 0.000000000000000000e+00 -1.882849441052260886e+01
-8.193178946206561477e+02 0.000000000000000000e+00 -1.862701608087694183e+01
-8.315818771492096175e+02 0.000000000000000000e+00 -1.694919087954612280e+01
-8.479730825101599976e+02 0.000000000000000000e+00 -1.757415008779273080e+01
-8.275342060258067249e+02 0.000000000000000000e+00 -1.799500908844864000e+01
-8.240892190306051361e+02 0.000000000000000000e+00 -1.765690641971488617e+01
-8.520569728381567529e+02 0.000000000000000000e+00 -1.733455691649893993e+01
-8.462839599706982199e+02 0.000000000000000000e+00 -1.847969522957220079e+01
-8.493155308381071791e+02 0.000000000000000000e+00 -1.832536016955587854e+01
-8.600600146703529845e+02 0.000000000000000000e+00 -1.787586734987962700e+01
-8.571818680015380778e+02 0.000000000000000000e+00 -1.727117508380777622e+01
-8.453697627496378573e+02 0.000000000000000000e+00 -1.705010694672827753e+01
-8.556629084305504875e+02 0.000000000000000000e+00 -1.719914716844213842e+01
-8.750870651684955419e+02 0.000000000000000000e+00 -1.802679889745775199e+01
-8.778299908424296518e+02 0.000000000000000000e+00 -1.657817350395019673e+01
-8.827297728144210396e+02 0.000000000000000000e+00 -1.658784713074317096e+01
-8.813970306557322374e+02 0.000000000000000000e+00 -1.754559490757915796e+01
-8.780495768686597557e+02 0.000000000000000000e+00 -1.737535100475329841e+01
-8.867879205145957258e+02 0.000000000000000000e+00 -1.813837813642123820e+01
-8.785927652172166518e+02 0.000000000000000000e+00 -1.714026484880683654e+01
-8.840646101119737068e+02 0.000000000000000000e+00 -1.716353704989148810e+01
-8.812593065853473036e+02 0.000000000000000000e+00 -1.986021451443541253e+01
-8.770165048147705420e+02 0.000000000000000000e+00 -2.067276796881520795e+01
-8.824910265666019313e+02 0.000000000000000000e+00 -2.096216247570865221e+01
-8.764146335793052458e+02 0.000000000000000000e+00 -2.055296570821300861e+01
-8.762307328548748728e+02 0.000000000000000000e+00 -2.013500714726400531e+01
-8.831445461797584358e+02 0.000000000000000000e+00 -2.019141403160921300e+01
-8.530226991838458162e+02 0.000000000000000000e+00 -2.051374016213893015e+01
-8.333672917292351485e+02 0.000000000000000000e+00 -1.999505765997012929e+01
-8.362372813989599081e+02 0.000000000000000000e+00 -1.730531306895609589e+01
-8.752594256775789745e+02 0.000000000000000000e+00 -1.652500280309838843e+01
-8.481459072649105337e+02 0.000000000000000000e+00 -1.765787036635117602e+01
-8.309359468276713869e+02 0.000000000000000000e+00 -1.659210054812602664e+01
-8.550606062688323163e+02 0.000000000000000000e+00 -1.732065326628237756e+01
-8.364824684947128617e+02 0.000000000000000000e+00 -1.835049766350431355e+01
-8.584492172910719319e+02 0.000000000000000000e+00 -1.841514668159095436e+01
-8.522037980977712550e+02 0.000000000000000000e+00 -1.857818421569832879e+01
-8.496707477515483333e+02 0.000000000000000000e+00 -1.899411275016873901e+01
-8.661529865446771055e+02 0.000000000000000000e+00 -1.815296224536905356e+01
-8.711309824996716316e+02 0.000000000000000000e+00 -1.855560314438739056e+01
-8.773691298358625090e+02 0.000000000000000000e+00 -1.877668426691180059e+01
-8.799712260381907072e+02 0.000000000000000000e+00 -1.951967597221575090e+01
-9.011786158642594273e+02 0.000000000000000000e+00 -1.704534292367684145e+01
-8.917104094770101028e+02 0.000000000000000000e+00 -1.664559506900873487e+01
-8.916160772453539494e+02 0.000000000000000000e+00 -1.585351779298898123e+01
-8.802351303715381619e+02 0.000000000000000000e+00 -1.602837805717777542e+01
-8.877379795486262992e+02 0.000000000000000000e+00 -1.754387930362976533e+01
-8.778989171945664793e+02 0.000000000000000000e+00 -1.679781406197625415e+01
-8.642721754769872859e+02 0.000000000000000000e+00 -1.854177230994481818e+01
-8.557827115698046327e+02 0.000000000000000000e+00 -1.925132222389571268e+01
-8.643956234808239287e+02 0.000000000000000000e+00 -1.704782466525963969e+01
-8.507088613320913737e+02 0.000000000000000000e+00 -1.743448834003389436e+01
-8.577656529428188605e+02 0.000000000000000000e+00 -1.685682952821413494e+01
-8.432079742147675461e+02 0.000000000000000000e+00 -1.794848580039491992e+01
-8.442234265575957579e+02 0.000000000000000000e+00 -1.659251927436518770e+01
-8.145506756507177215e+02 0.000000000000000000e+00 -1.735783825748951870e+01
-8.205488073303022247e+02 0.000000000000000000e+00 -1.802396071735410032e+01
-8.281850933807000956e+02 0.000000000000000000e+00 -1.806104151174898220e+01
-8.592236068202907973e+02 0.000000000000000000e+00 -1.851915800842179749e+01
-8.763896054712989780e+02 0.000000000000000000e+00 -1.903651101564454962e+01
-8.869319093384999633e+02 0.000000000000000000e+00 -1.816114026416035188e+01
-8.745940485286002968e+02 0.000000000000000000e+00 -1.663709819494330588e+01
-8.806517412576342849e+02 0.000000000000000000e+00 -1.767732049769392688e+01
-8.596018821883091050e+02 0.000000000000000000e+00 -2.037805429521387168e+01
-8.356701458988642344e+02 0.000000000000000000e+00 -2.075974796941869727e+01
-8.205390763206557949e+02 0.000000000000000000e+00 -1.935861965076934155e+01
-8.354886778952152326e+02 0.000000000000000000e+00 -1.953334735458717830e+01
-8.340340327659321247e+02 0.000000000000000000e+00 -1.948141202729507881e+01
-8.231933180880317877e+02 0.000000000000000000e+00 -1.875764714171317848e+01
-8.020171867204330738e+02 0.000000000000000000e+00 -1.833129264173101092e+01
-7.750666498381162910e+02 0.000000000000000000e+00 -1.850087454313378998e+01
-8.041493288216614701e+02 0.000000000000000000e+00 -1.855386482097637213e+01
-7.969523796167429737e+02 0.000000000000000000e+00 -1.905353331614720958e+01
-7.867898093781527677e+02 0.000000000000000000e+00 -1.883475006090786508e+01
-7.883839077969794289e+02 0.000000000000000000e+00 -1.951894263531563922e+01
-7.861754461225941668e+02 0.000000000000000000e+00 -1.754037864675260039e+01
-7.932401694954459117e+02 0.000000000000000000e+00 -1.788950488400041650e+01
-8.012163577884066399e+02 0.000000000000000000e+00 -1.733512017307620567e+01
-7.917624913104850748e+02 0.000000000000000000e+00 -1.657380816319444250e+01
-8.002079629950685558e+02 0.000000000000000000e+00 -1.628208523827640875e+01
-8.124231322298658142e+02 0.000000000000000000e+00 -1.699080606729897625e+01
-8.288121739666294161e+02 0.000000000000000000e+00 -1.664903290087477217e+01
-7.997927917878605513e+02 0.000000000000000000e+00 -1.726789286005134727e+01
-7.922396204939443578e+02 0.000000000000000000e+00 -1.710356003825069138e+01
-7.827385554053780652e+02 0.000000000000000000e+00 -1.854260268532470946e+01
-8.150210287037886019e+02 0.000000000000000000e+00 -1.778199730731924433e+01
-7.838945557726057132e+02 0.000000000000000000e+00 -1.769841298338366187e+01
-7.795117610917347974e+02 0.000000000000000000e+00 -1.750996300196015909e+01
-7.831270989032211673e+02 0.000000000000000000e+00 -1.801557886195625713e+01
-7.948145849677539445e+02 0.000000000000000000e+00 -1.783960926808808267e+01
-7.939851204066765149e+02 0.000000000000000000e+00 -1.994457592846725902e+01
-7.913118271203827589e+02 0.000000000000000000e+00 -1.687973098397327476e+01
-7.936684856189315269e+02 0.000000000000000000e+00 -1.738677167685071367e+01
-7.962837307774630062e+02 0.000000000000000000e+00 -1.762589966925202134e+01
-7.739138329968238850e+02 0.000000000000000000e+00 -1.878234539797897185e+01
-7.676245778820123178e+02 0.000000000000000000e+00 -1.858309913896474086e+01
-7.895912072412577345e+02 0.000000000000000000e+00 -1.760633570360809586e+01
-8.148027667963551721e+02 0.000000000000000000e+00 -1.797968569467354882e+01
-8.136709478904836033e+02 0.000000000000000000e+00 -1.776331866007994620e+01
-8.329126538956500099e+02 0.000000000000000000e+00 -1.781694405367505851e+01
-8.406178549806745650e+02 0.000000000000000000e+00 -1.787838443593192039e+01
-8.530624138377214649e+02 0.000000000000000000e+00 -1.755008754540175175e+01
-8.646029001390103303e+02 0.000000000000000000e+00 -1.662807626530772609e+01
-8.577128415771896925e+02 0.000000000000000000e+00 -1.888808561773936390e+01
-8.742927887191874561e+02 0.000000000000000000e+00 -1.921850676057894702e+01
-8.753664146765337364e+02 0.000000000000000000e+00 -1.954903806986334303e+01
-8.695875082456379914e+02 0.000000000000000000e+00 -1.926444543755540906e+01
-8.578941031327472047e+02 0.000000000000000000e+00 -1.893249265113348656e+01
-8.566122554143423713e+02 0.000000000000000000e+00 -1.959244887148877012e+01
-8.617635686508401704e+02 0.000000000000000000e+00 -1.921969556435317372e+01
-8.506662786486120922e+02 0.000000000000000000e+00 -1.951884200800255087e+01
-8.551986358056751669e+02 0.000000000000000000e+00 -1.948175070982686918e+01
-8.643602855085737247e+02 0.000000000000000000e+00 -2.013689927053367512e+01
-8.431580875852926056e+02 0.000000000000000000e+00 -1.892806022446464453e+01
-8.331157605305443212e+02 0.000000000000000000e+00 -1.945883464193096302e+01
-8.384341709848961273e+02 0.000000000000000000e+00 -1.827625553400064007e+01
-8.314059651271716120e+02 0.000000000000000000e+00 -1.905027048320920358e+01
-8.333093487969979378e+02 0.000000000000000000e+00 -1.879593974404555468e+01
-8.333389949853160488e+02 0.000000000000000000e+00 -1.844470179123617015e+01
-8.339817779848835926e+02 0.000000000000000000e+00 -1.892664443817292863e+01
-8.408079226840542333e+02 0.000000000000000000e+00 -1.920752972163182903e+01
-8.310632794120745075e+02 0.000000000000000000e+00 -1.845277757684912956e+01
-8.338812632157454345e+02 0.000000000000000000e+00 -1.881112890512162039e+01
-8.130750479655121126e+02 0.000000000000000000e+00 -1.834064255918183051e+01
-8.174785172526511587e+02 0.000000000000000000e+00 -1.880934397227825627e+01
-8.235744526961077554e+02 0.000000000000000000e+00 -1.966025923007418896e+01
-8.132845054182841977e+02 0.000000000000000000e+00 -1.936378539487276385e+01
-8.235752761550627383e+02 0.000000000000000000e+00 -1.958782677562342656e+01
-8.188728752632587202e+02 0.000000000000000000e+00 -1.885800189627032353e+01
-8.189516221413572339e+02 0.000000000000000000e+00 -1.893389054195425558e+01
-8.361044975695216408e+02 0.000000000000000000e+00 -1.919316284670809125e+01
-8.352805800686346629e+02 0.000000000000000000e+00 -1.974507212910864951e+01
-8.325020011765365098e+02 0.000000000000000000e+00 -2.123262747578372966e+01
-8.300188646530846199e+02 0.000000000000000000e+00 -2.073799617621561708e+01
-8.205237744222388301e+02 0.000000000000000000e+00 -2.186412519526541587e+01
