time.decay.1	time.decay.2	time.decay.3	time.decay.4	time.decay.5	time.decay.6	time.decay.7	time.decay.8	time.decay.9	
9.067398833233448840e+01 1.061252203752941057e+02 9.807023264028438803e+01 7.471139997901958907e+01 9.379227586342966561e+01 1.010782322279827667e+02 8.408402544948116031e+01 8.907717034681590462e+01 9.595359278467481090e+01
1.103928478670002136e+02 1.050832673363162542e+02 1.128012216190394099e+02 7.046728566867224686e+01 9.912997807480203960e+01 1.131419009146558210e+02 8.609568034913452550e+01 1.010876174422837153e+02 1.107310205407176369e+02
1.068658179263062067e+02 1.055741886511850396e+02 1.110582579821266052e+02 1.085473349452693270e+02 9.847663196394202600e+01 1.085401342038696555e+02 7.606950792270498596e+01 9.529894653230596191e+01 1.125063957225662108e+02
1.014447106835827555e+02 1.097864973161647981e+02 9.815760357272688452e+01 1.035212169067289381e+02 9.882527509868508275e+01 8.673707561827436052e+01 1.261299541807661626e+02 9.412868960315955746e+01 1.059572554624832605e+02
1.008136499216326314e+02 1.133799714100159548e+02 9.667741612938948492e+01 9.011091267435767804e+01 9.751573075504452959e+01 8.942176807527356175e+01 1.148551142983024960e+02 1.070919942522885862e+02 1.068666503534741707e+02
1.045412979311653032e+02 1.105056603406804783e+02 9.466773694718077081e+01 1.036987228976087181e+02 1.126280654109345107e+02 1.065022200113775739e+02 1.097254834807291104e+02 9.462880421646421780e+01 1.163425512256987986e+02
9.756922264935217015e+01 9.119100275451988580e+01 9.449052616853541053e+01 1.039949147728234209e+02 1.061428292694105693e+02 9.652460656715415155e+01 1.085359469559940209e+02 1.011150450851300491e+02 1.018992818096104145e+02
8.810376365335926607e+01 9.876952872607876088e+01 1.084883638583173138e+02 1.010360707252427659e+02 1.017815605234718248e+02 1.076593799619331833e+02 9.266269047144275817e+01 1.105950888099770140e+02 1.042965513852763308e+02
9.664837159793324872e+01 9.591039473558912221e+01 8.637265501510323418e+01 1.051365236876052478e+02 1.093329595454888192e+02 8.747677100705027442e+01 1.165248405768750359e+02 9.762063971254082162e+01 1.111024670352673240e+02
9.901018350933966872e+01 9.305096908021219804e+01 9.545483634999705203e+01 9.310793253442905382e+01 9.271259379841266934e+01 1.009333572208636838e+02 1.151783493942216836e+02 8.743992667698923071e+01 1.039137834900048460e+02
9.927733612013172149e+01 1.012448520736512734e+02 1.026634456966520190e+02 1.080798478786324210e+02 9.868226869971684323e+01 1.026892861399275745e+02 1.015182602755434971e+02 8.963717055880646001e+01 1.052699699002428133e+02
9.388296689684383978e+01 9.121529412573882212e+01 9.648466857708625355e+01 1.137922348804290067e+02 8.840741915463375733e+01 9.932537516543519018e+01 9.636884409642628668e+01 1.063645439130735753e+02 8.753810469843377007e+01
1.045766316302511427e+02 9.709821955790555137e+01 1.046390472225619988e+02 8.546724670859438788e+01 9.843387137511365381e+01 9.983955134191600678e+01 8.690936839360809074e+01 1.125827962003453138e+02 1.179042696699317929e+02
9.312132497126468422e+01 9.785381821191367635e+01 1.105653557419603885e+02 1.128903836321576364e+02 1.049342357894486355e+02 1.143545007474913859e+02 8.345761521002862082e+01 8.522121331157376289e+01 1.052155690640917669e+02
9.664164904088211472e+01 1.119540960631133828e+02 1.006862827471498747e+02 1.182517587008562430e+02 9.778657853513175269e+01 8.740744018123649539e+01 1.121615339672135576e+02 9.516860060629959150e+01 9.722680380279476253e+01
1.035208363394366131e+02 9.760227233381492340e+01 1.011086891115731987e+02 9.645667824433171234e+01 9.595103117323947117e+01 1.148112760392220792e+02 1.104320259808606011e+02 9.492863428591437014e+01 1.098356207933087916e+02
9.230270876127788426e+01 1.006077664160462035e+02 1.112853787023645111e+02 8.978777953546855883e+01 9.969204319432947159e+01 1.083950934173803375e+02 9.748518591371899333e+01 9.675960235363980644e+01 9.189569343435032067e+01
8.946267728838404309e+01 1.089829558684658650e+02 1.071729570174646824e+02 9.016409365908330642e+01 1.046812319166339904e+02 8.432130542734492451e+01 1.080871578319368496e+02 1.025860266985439466e+02 9.151899080845110745e+01
1.099255606751177368e+02 9.502739598785737485e+01 1.013975635639768029e+02 1.152056535046232000e+02 9.511923735867860330e+01 1.137288099807865933e+02 1.006042898844544311e+02 1.177657827813415281e+02 9.904076915241724066e+01
9.222417001507309919e+01 1.018581753154074505e+02 9.993825205871509354e+01 9.978394356631496009e+01 1.009843379337828537e+02 1.130303363766856108e+02 9.818330288042670873e+01 1.160393492775384914e+02 9.035944623917163199e+01
8.982182628952301684e+01 1.110851169974736194e+02 9.734739881885808188e+01 1.068212368755925183e+02 9.993679518938920125e+01 8.767994371521783137e+01 1.035016547034933012e+02 9.685907647203039517e+01 9.200178824789216492e+01
8.523848001916812223e+01 9.265598638866154602e+01 1.019946693529709876e+02 1.161485362233076160e+02 9.990405207713889979e+01 7.870508571857251923e+01 9.355465737090250400e+01 9.688206415500849289e+01 9.075741739721104295e+01
9.084659327014827568e+01 8.518100627117534884e+01 1.077849735519832564e+02 1.058050472491642040e+02 1.029442130524534491e+02 9.188813875080394666e+01 1.140442939659490662e+02 9.935188867086810660e+01 1.007534987744570714e+02
1.115094139945262555e+02 9.410062304625689933e+01 1.003319552646507873e+02 9.244361953834579992e+01 1.037233280735469094e+02 8.846954995505964803e+01 9.653252156652656879e+01 1.036586477284480452e+02 1.135119258131165623e+02
9.155539083936049849e+01 1.036585153264790335e+02 1.076315554121036939e+02 9.389007961708877303e+01 1.017690752926773570e+02 1.032476778780971784e+02 9.263873915287760497e+01 1.081847023455629540e+02 1.162058761036130790e+02
1.034051820048920689e+02 8.518533423309770569e+01 1.047570471783488841e+02 9.715943077576037012e+01 1.006490481044426559e+02 9.171116266353082835e+01 8.702869818228467125e+01 1.022888381380937517e+02 8.444758524063917093e+01
1.157209084577944793e+02 1.026920541475947886e+02 1.032707443895872643e+02 9.709623081037835846e+01 9.769168897186919764e+01 1.075793974786538314e+02 9.588389565049865837e+01 1.136918277011139793e+02 1.060345192572251847e+02
1.135639863919134598e+02 9.019291161030972148e+01 9.686316949795562437e+01 8.570661836689623669e+01 9.900119591252096996e+01 1.002897459092481967e+02 9.291978984367985106e+01 9.473433580607358806e+01 1.012965470898075893e+02
1.057060156714688048e+02 1.043097296940620140e+02 9.412790335787778417e+01 1.233236549879061954e+02 9.722337383918187470e+01 1.039076500321021683e+02 1.082158277781097979e+02 1.095729946454030141e+02 8.517764677738242085e+01
9.019713985977595883e+01 1.038950330007241689e+02 9.000584580667202772e+01 1.242921281759384300e+02 1.101072972112254433e+02 1.043186145193093211e+02 1.160970617399368194e+02 1.116245418628310375e+02 1.073848573318784645e+02
1.062572633347820670e+02 1.001798124430325885e+02 1.204334852565247331e+02 1.165956067399909699e+02 1.051609062862265915e+02 1.004773696226234563e+02 9.013525108962002719e+01 1.116720310165296297e+02 9.866406379642160118e+01
