word.concentration.1	word.concentration.2	word.concentration.3	word.concentration.4	word.concentration.5	word.concentration.6	word.concentration.7	word.concentration.8	word.concentration.9	
9.193390054997259142e+00 9.439805570339553142e+00 8.287862896513653155e+00 6.500481845476424603e+00 9.943098909673716790e+00 7.940976087404318484e+00 8.097702855411077039e+00 8.384361559369313710e+00 5.840899789267188780e+00
8.831090967946229497e+00 7.504529921529564440e+00 8.406913024966872428e+00 7.263332305726271088e+00 5.006909751309109424e+00 8.868319371731580247e+00 7.648502107849973974e+00 8.355352731534955169e+00 9.890949908248904521e+00
8.262720214013965503e+00 9.499430007082528604e+00 5.998059443454111239e+00 5.100790979704458827e+00 9.476568994123267586e+00 8.503569183485071292e+00 5.976044944683661875e+00 9.219976027931878093e+00 6.402973736431074592e+00
8.692429962777461938e+00 9.748696916286677450e+00 5.166292446767110746e+00 7.524035697619172680e+00 9.391803031605320484e+00 8.820781302981789196e+00 8.166227908979896810e+00 9.016937807346536715e+00 9.626494484421710851e+00
8.500911347338488966e+00 9.242537128277199088e+00 8.210333204183006828e+00 7.842898737858349456e+00 6.986635542324734161e+00 7.075454023979471430e+00 9.735130531831943657e+00 9.115193666464080025e+00 6.239160331511278912e+00
8.222168504899387997e+00 9.984437945585474594e+00 9.632861771245533333e+00 7.189573970132464353e+00 7.674893178581442044e+00 9.573163266914589187e+00 9.448846298365316088e+00 7.270353138311133279e+00 6.788398538705162188e+00
7.601927895271594515e+00 9.793727563418574533e+00 7.872019889107852997e+00 6.510012374554590586e+00 9.432356080423176081e+00 5.994288619158008480e+00 9.237721112659704303e+00 9.089623632224633099e+00 8.013819350802007691e+00
8.426706721671246569e+00 8.946543637613606492e+00 9.057883868063903776e+00 7.325208266760350639e+00 7.105823143150177046e+00 5.927521878401829980e+00 8.369354661045806054e+00 9.893293251215823148e+00 9.629101806964548871e+00
7.118980874299135841e+00 7.191560740781605787e+00 9.709818422459772336e+00 6.399378894613047208e+00 7.828857149633682511e+00 9.326246393787325673e+00 8.804578747957476637e+00 7.193324196213669808e+00 7.921564460830555099e+00
7.257021172974392087e+00 7.252036527639955210e+00 6.901758828576522120e+00 9.192446573348757255e+00 9.987116228000479268e+00 9.742731536706790152e+00 8.256686522082731017e+00 4.697151087402174241e+00 5.115243254079636870e+00
7.634577056548557117e+00 9.257312012938884394e+00 8.060673105157734497e+00 7.575388158684217998e+00 8.532893029707560473e+00 5.985750323569453357e+00 7.727047049889516295e+00 9.119086645236977873e+00 8.788147118276492975e+00
7.773601997480987791e+00 6.163355642429714898e+00 9.530004224440444816e+00 9.677528153742857242e+00 8.561922500020520133e+00 6.439318600516038771e+00 7.550492906100026325e+00 9.232870391413339206e+00 7.604316168000364584e+00
5.643044461455638761e+00 9.072946445169876029e+00 9.134936631074063840e+00 6.246799350556784702e+00 3.201605623143998880e+00 5.546489791457379859e+00 7.946652022480596322e+00 6.699594958388356503e+00 5.207679191639059013e+00
5.382808586484546076e+00 6.597733167724573633e+00 5.673116667454586093e+00 6.779737596625659890e+00 5.007910623149852469e+00 9.038206471970534395e+00 9.883541053957534572e+00 9.713913560710798478e+00 5.129870228277739308e+00
8.720066470899071831e+00 9.882465754310903350e+00 6.265909147441877991e+00 6.924552453262664109e+00 5.317818237652732094e+00 7.401103968061254257e+00 7.757525593747882198e+00 7.626887784029688255e+00 7.171321745049869634e+00
8.287928527355155950e+00 8.313491300385209115e+00 6.965412766780845644e+00 9.909813307462732368e+00 9.687364752326640627e+00 7.456885808796426929e+00 9.698419126715039695e+00 7.972329242563412244e+00 8.127133509666627731e+00
7.138145896186461670e+00 7.262090731039215541e+00 8.893525502443836217e+00 3.510701493327959444e+00 5.210340527415096012e+00 6.321087438228961908e+00 8.434179879073592900e+00 9.792424141212265454e+00 8.614174518397973657e+00
5.004317605740011388e+00 6.745230613334699754e+00 8.866713744691601562e+00 9.508908251523022770e+00 4.428371781218610082e+00 6.886587938567754641e+00 8.610366730329179319e+00 7.494237038809031581e+00 7.830308591515910521e+00
5.234053457042044499e+00 6.532114323241475340e+00 8.203804016723790227e+00 8.560409163680953171e+00 9.555495517030939467e+00 7.768103152917308130e+00 5.480214490060091315e+00 8.799237537473045379e+00 8.227266703709711138e+00
6.305997406338010869e+00 6.238191578954793037e+00 8.930874571666365114e+00 8.703605362496265485e+00 6.505179980812091145e+00 7.460804941486594011e+00 7.384136707355295037e+00 8.178043813020090980e+00 7.644742283645973302e+00
