word.1	word.2	word.3	word.4	word.5	word.6	word.7	word.8	word.9	word.10	word.11	word.12	word.13	word.14	word.15	word.16	word.17	word.18	word.19	word.20	word.21	word.22	word.23	word.24	word.25	word.26	word.27	word.28	word.29	word.30	word.31	word.32	word.33	word.34	word.35	word.36	word.37	word.38	word.39	word.40	word.41	word.42	word.43	word.44	word.45	word.46	word.47	word.48	word.49	word.50	
0.0201271 0.0193110 0.0200081 0.0204792 0.0200145 0.0203527 0.0204136 0.0202896 0.0207084 0.0205601 0.0203349 0.0198704 0.0189518 0.0195634 0.0206582 0.0203749 0.0202930 0.0201982 0.0202188 0.0206063 0.0191604 0.0199662 0.0188607 0.0200367 0.0202730 0.0194082 0.0191874 0.0198395 0.0200535 0.0203957 0.0202553 0.0203710 0.0200764 0.0198287 0.0190654 0.0197107 0.0202754 0.0195098 0.0207487 0.0209607 0.0194283 0.0206651 0.0206556 0.0194856 0.0205315 0.0203878 0.0195986 0.0195592 0.0194424 0.0189283
0.0198479 0.0205413 0.0200235 0.0206518 0.0197792 0.0202190 0.0201333 0.0198884 0.0190585 0.0201150 0.0198822 0.0200634 0.0196388 0.0198070 0.0202780 0.0203065 0.0201770 0.0198818 0.0204549 0.0198917 0.0196831 0.0204276 0.0194054 0.0198229 0.0199841 0.0197705 0.0206998 0.0197844 0.0202632 0.0204716 0.0203068 0.0200059 0.0198966 0.0202131 0.0192978 0.0200407 0.0199698 0.0208234 0.0204660 0.0195309 0.0200915 0.0200613 0.0204736 0.0203550 0.0191313 0.0196717 0.0194572 0.0195750 0.0198594 0.0198212
0.0200100 0.0197765 0.0207523 0.0203644 0.0197312 0.0204368 0.0200418 0.0203584 0.0197180 0.0200484 0.0204214 0.0199699 0.0196871 0.0199140 0.0200774 0.0204067 0.0198330 0.0193300 0.0204284 0.0196871 0.0198790 0.0199268 0.0199030 0.0190381 0.0200600 0.0202900 0.0200130 0.0194231 0.0207078 0.0201517 0.0196791 0.0195023 0.0195842 0.0202762 0.0191356 0.0205843 0.0199595 0.0201252 0.0206374 0.0203272 0.0198447 0.0202618 0.0200895 0.0193292 0.0202272 0.0202588 0.0190913 0.0193178 0.0210365 0.0203470
0.0201270 0.0193109 0.0200080 0.0204791 0.0200144 0.0203526 0.0204136 0.0202895 0.0207083 0.0205601 0.0203392 0.0198703 0.0189517 0.0195633 0.0206581 0.0203748 0.0202929 0.0201981 0.0202188 0.0206062 0.0191603 0.0199661 0.0188607 0.0200366 0.0202730 0.0194081 0.0191873 0.0198394 0.0200534 0.0203956 0.0202552 0.0203710 0.0200764 0.0198286 0.0190653 0.0197106 0.0202753 0.0195097 0.0207486 0.0209606 0.0194282 0.0206650 0.0206556 0.0194855 0.0205314 0.0203877 0.0195985 0.0195591 0.0194423 0.0189282
0.0196466 0.0204736 0.0202159 0.0196873 0.0193133 0.0210537 0.0202699 0.0201889 0.0203840 0.0198911 0.0193153 0.0199741 0.0204339 0.0203904 0.0203086 0.0203116 0.0191534 0.0204705 0.0195605 0.0202816 0.0203203 0.0197858 0.0189761 0.0201856 0.0198319 0.0202842 0.0203300 0.0198950 0.0193406 0.0197203 0.0200694 0.0206349 0.0202434 0.0206692 0.0204016 0.0199066 0.0202429 0.0196669 0.0195458 0.0194912 0.0203773 0.0201238 0.0200790 0.0199939 0.0200623 0.0198753 0.0197200 0.0196497 0.0194612 0.0197915
0.0201266 0.0193105 0.0200076 0.0204787 0.0200140 0.0203522 0.0204132 0.0202891 0.0207080 0.0205597 0.0203387 0.0198700 0.0189513 0.0195630 0.0206577 0.0203744 0.0202925 0.0201978 0.0202184 0.0206058 0.0191600 0.0199657 0.0188603 0.0200362 0.0202726 0.0194077 0.0191869 0.0198390 0.0200724 0.0203952 0.0202548 0.0203706 0.0200760 0.0198282 0.0190649 0.0197102 0.0202749 0.0195093 0.0207482 0.0209602 0.0194278 0.0206646 0.0206552 0.0194852 0.0205310 0.0203873 0.0195982 0.0195587 0.0194419 0.0189279
0.0201901 0.0197612 0.0207362 0.0203487 0.0197160 0.0204097 0.0200263 0.0203427 0.0197027 0.0200329 0.0204056 0.0199544 0.0196718 0.0198986 0.0200618 0.0204887 0.0198177 0.0193150 0.0204126 0.0197697 0.0198636 0.0199114 0.0198876 0.0190234 0.0200444 0.0202743 0.0199928 0.0194080 0.0210003 0.0201361 0.0196639 0.0194872 0.0195691 0.0202605 0.0191208 0.0205684 0.0199440 0.0201096 0.0206215 0.0203115 0.0198247 0.0202462 0.0200740 0.0193142 0.0202115 0.0202432 0.0190765 0.0193974 0.0210203 0.0203313
0.0200938 0.0205280 0.0200104 0.0206383 0.0197664 0.0202058 0.0201202 0.0198755 0.0190529 0.0201019 0.0198764 0.0200503 0.0196260 0.0197941 0.0202648 0.0204227 0.0201639 0.0198689 0.0204416 0.0200082 0.0196703 0.0204143 0.0193928 0.0198100 0.0199711 0.0197577 0.0206789 0.0197716 0.0202520 0.0204583 0.0202936 0.0199929 0.0198905 0.0202000 0.0192852 0.0200276 0.0199568 0.0208099 0.0204527 0.0195182 0.0200710 0.0200483 0.0204602 0.0203417 0.0191189 0.0196589 0.0194445 0.0196873 0.0198465 0.0198083
0.0201265 0.0193104 0.0200074 0.0204786 0.0200139 0.0203521 0.0204130 0.0202890 0.0207118 0.0205595 0.0203384 0.0198698 0.0189512 0.0195628 0.0206575 0.0203742 0.0202924 0.0201976 0.0202182 0.0206057 0.0191598 0.0199655 0.0188601 0.0200361 0.0202724 0.0194076 0.0191868 0.0198388 0.0200717 0.0203951 0.0202547 0.0203704 0.0200798 0.0198281 0.0190648 0.0197101 0.0202747 0.0195092 0.0207480 0.0209600 0.0194277 0.0206645 0.0206550 0.0194850 0.0205309 0.0203871 0.0195980 0.0195586 0.0194418 0.0189277
0.0200876 0.0205263 0.0201092 0.0206366 0.0197647 0.0202041 0.0201185 0.0198738 0.0190512 0.0201003 0.0198746 0.0200486 0.0196243 0.0197925 0.0202631 0.0204187 0.0201622 0.0198672 0.0204398 0.0200043 0.0196686 0.0204126 0.0193912 0.0198083 0.0199694 0.0197560 0.0206747 0.0197699 0.0202503 0.0204566 0.0202919 0.0199912 0.0198887 0.0201983 0.0192836 0.0200259 0.0199551 0.0208081 0.0204510 0.0195165 0.0200668 0.0200466 0.0204585 0.0203400 0.0191173 0.0196572 0.0194429 0.0196835 0.0198448 0.0198066
