sender	time
2 0.01
1 0.20
3 0.22
2 0.64
7 3.61
2 4.10
3 4.54
1 5.32
2 6.77
1 7.07
9 8.15
1 9.74
2 10.45
3 10.56
5 10.66
1 13.81
2 14.41
1 15.18
4 16.12
1 16.46
3 16.54
2 16.67
1 17.37
3 18.02
4 18.17
6 19.80
2 22.06
4 22.63
1 23.26
3 25.11
1 25.12
5 25.47
1 25.51
1 25.74
2 26.65
2 27.45
3 28.50
2 29.07
5 30.04
7 30.12
3 30.95
2 36.01
1 36.30
3 36.93
5 38.59
3 38.60
2 38.92
6 40.86
1 41.19
8 41.19
5 41.54
1 42.59
3 43.97
1 44.02
5 44.57
9 44.74
2 45.04
7 45.19
5 45.39
7 45.50
3 46.52
1 46.97
2 47.02
5 47.12
3 48.39
1 49.58
1 50.02
3 50.16
